id,brand_number,brand_name,size,sales_mrp,updated_at,product_type
140,7128,WILLIAM LAWSONS BLENDED SCOTCH WHISKY,750 ml,2200,2026-04-10 00:25:41.058622,IML
141,7154,BLACK WHITE BLENDED SCOTCH WHISKY,180 ml,520,2026-04-10 00:33:18.861,IML
142,7154,BLACK WHITE BLENDED SCOTCH WHISKY,375 ml,1050,2026-04-10 00:26:08.935563,IML
143,7154,BLACK WHITE BLENDED SCOTCH WHISKY,750 ml,2080,2026-04-10 00:26:23.633044,IML
144,7291,BLACK DOG CEN BLACK RES.AGED AND RARE BLD SCT WHISKY,180 ml,540,2026-04-10 00:26:38.185641,IML
145,7291,BLACK DOG CEN BLACK RES.AGED AND RARE BLD SCT WHISKY,375 ml,1090,2026-04-10 00:26:52.943039,IML
146,7291,BLACK DOG CEN BLACK RES.AGED AND RARE BLD SCT WHISKY,750 ml,2160,2026-04-10 00:27:06.358613,IML
147,7355,SEAGRAM S BLENDERS PRIDE RES.COLLECTION WHISKY,180 ml,390,2026-04-10 00:27:25.885594,IML
148,7355,SEAGRAM S BLENDERS PRIDE RES.COLLECTION WHISKY,375 ml,780,2026-04-10 00:27:38.668791,IML
149,7355,SEAGRAM S BLENDERS PRIDE RES.COLLECTION WHISKY,750 ml,1560,2026-04-10 00:27:51.455574,IML
150,8451,GOLFER`S SHOT OAK BARREL AGED WHISKY,180 ml,340,2026-04-10 00:28:17.901554,IML
151,8451,GOLFER`S SHOT OAK BARREL AGED WHISKY,375 ml,680,2026-04-10 00:28:37.211228,IML
152,8451,GOLFER`S SHOT OAK BARREL AGED WHISKY,750 ml,1360,2026-04-10 00:28:51.630526,IML
154,1307,BREEZER GOLD EXOTICJAMAICAN PASSION FLAVOUR,275 ml,130,2026-04-10 00:30:46.483432,IML
156,256,TI MANSION HOUSE GOLD WHISKY,90 ml,130,2026-04-10 02:02:16.009,IML
157,2092,WHISTLER BARREL AGED BLENDED MALT WHISKY,180 ml,370,2026-04-10 00:40:25.0617,IML
158,2092,WHISTLER BARREL AGED BLENDED MALT WHISKY,375 ml,740,2026-04-10 00:40:43.8673,IML
159,2092,WHISTLER BARREL AGED BLENDED MALT WHISKY,750 ml,1480,2026-04-10 00:41:18.011506,IML
160,2088,SUMO SUPREME WHISKY,90 ml,60,2026-04-10 00:41:46.804263,IML
161,2073,SEAGRAM`S XCLAMATION RESERVE WHISKY,180 ml,300,2026-04-10 00:42:20.1184,IML
162,2073,SEAGRAM`S XCLAMATION RESERVE WHISKY,375 ml,600,2026-04-10 00:42:34.11808,IML
163,2073,SEAGRAM`S XCLAMATION RESERVE WHISKY,750 ml,1200,2026-04-10 00:42:53.055476,IML
164,2053,ROYAL CHALLENGE IRISH TRAIL EMERALD BLEND WHISKY,375 ml,680,2026-04-10 00:43:22.007971,IML
165,2053,ROYAL CHALLENGE IRISH TRAIL EMERALD BLEND WHISKY,750 ml,1360,2026-04-10 00:43:43.632744,IML
166,1560,ROYAL GREEN SUPREME BLENDED WHISKY,90 ml,120,2026-04-10 00:47:13.180722,IML
167,1560,ROYAL GREEN SUPREME BLENDED WHISKY,180 ml,220,2026-04-10 00:47:41.890244,IML
168,1560,ROYAL GREEN SUPREME BLENDED WHISKY,375 ml,440,2026-04-10 00:47:58.591171,IML
169,1560,ROYAL GREEN SUPREME BLENDED WHISKY,750 ml,880,2026-04-10 00:48:12.916862,IML
170,481,ARISTOCRAT PREMIUM RESERVE WHISKY,375 ml,380,2026-04-10 00:49:03.210497,IML
171,481,ARISTOCRAT PREMIUM RESERVE WHISKY,750 ml,760,2026-04-10 00:49:19.765552,IML
172,1746,DK DOUBLE KICK SUPERIOR WHISKY,180 ml,110,2026-04-10 00:54:46.411691,IML
173,1713,SEAGRAM`S 100 PIPERS EXQUISITE BLENDED SCOTCH WHISKY,180 ml,540,2026-04-10 00:58:08.001129,IML
174,1713,SEAGRAM`S 100 PIPERS EXQUISITE BLENDED SCOTCH WHISKY,375 ml,1080,2026-04-10 00:58:51.105164,IML
175,1713,SEAGRAM`S 100 PIPERS EXQUISITE BLENDED SCOTCH WHISKY,750 ml,2160,2026-04-10 00:59:07.976778,IML
183,0258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,90 ml,100,2026-04-10 03:34:26.513547,IML
185,6046,CARLSBERG ELEPHANT SUPERSTRONG SUPER PREM.BEER,650 ml,220,2026-04-10 03:38:05.900803,Beer
186,5122,KARJURA STRONG BEER,650 ml,190,2026-04-10 03:38:41.870449,Beer
187,0110,OFFICER`S CHOICE RESERVE WHISKY,180 ml,160,2026-04-10 03:50:52.793,IML
188,0110,OFFICER`S CHOICE RESERVE WHISKY,90 ml,90,2026-04-10 03:49:52.386982,IML
191,3639,SULA CABERNET SHIRAJ RED WINE,375 ml,600,2026-04-10 03:54:57.88193,IML
192,0316,MAGIC MOMENTS FLAVOURED PR.VODKA-GREEN APPLE,180 ml,210,2026-04-10 03:57:32.322706,IML
